Radon Tracer Results

Date-Time of Calculation: 2018-01-04T18:48:31.704

Values: 12, 12, 100, 5, 10, 24
Anomaly # 38.0			Anomaly at index: 25270		Value: 104.448		Time: Fri Oct 26 23:40:00 EEST 2012
E.quake # 20.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 39.0			Anomaly at index: 25284		Value: 101.376		Time: Sat Oct 27 02:00:00 EEST 2012
E.quake # 21.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 40.0			Anomaly at index: 25287		Value: 101.888		Time: Sat Oct 27 02:30:00 EEST 2012
E.quake # 22.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 41.0			Anomaly at index: 25288		Value: 101.888		Time: Sat Oct 27 02:40:00 EEST 2012
E.quake # 23.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 42.0			Anomaly at index: 25289		Value: 101.888		Time: Sat Oct 27 02:50:00 EEST 2012
E.quake # 24.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 43.0			Anomaly at index: 25290		Value: 100.352		Time: Sat Oct 27 03:00:00 EEST 2012
E.quake # 25.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 44.0			Anomaly at index: 25293		Value: 105.472		Time: Sat Oct 27 03:30:00 EEST 2012
E.quake # 26.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 45.0			Anomaly at index: 25294		Value: 107.52		Time: Sat Oct 27 03:40:00 EEST 2012
E.quake # 27.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 46.0			Anomaly at index: 25296		Value: 105.472		Time: Sat Oct 27 04:00:00 EEST 2012
E.quake # 28.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 47.0			Anomaly at index: 25297		Value: 104.448		Time: Sat Oct 27 04:10:00 EEST 2012
E.quake # 29.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 48.0			Anomaly at index: 25298		Value: 102.4		Time: Sat Oct 27 04:20:00 EEST 2012
E.quake # 30.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 49.0			Anomaly at index: 25299		Value: 101.888		Time: Sat Oct 27 04:30:00 EEST 2012
E.quake # 31.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 50.0			Anomaly at index: 25300		Value: 104.96		Time: Sat Oct 27 04:40:00 EEST 2012
E.quake # 32.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 51.0			Anomaly at index: 25301		Value: 101.376		Time: Sat Oct 27 04:50:00 EEST 2012
E.quake # 33.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 52.0			Anomaly at index: 25302		Value: 101.376		Time: Sat Oct 27 05:00:00 EEST 2012
E.quake # 34.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 53.0			Anomaly at index: 25303		Value: 103.424		Time: Sat Oct 27 05:10:00 EEST 2012
E.quake # 35.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 54.0			Anomaly at index: 25304		Value: 113.152		Time: Sat Oct 27 05:20:00 EEST 2012
E.quake # 36.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 55.0			Anomaly at index: 25305		Value: 100.864		Time: Sat Oct 27 05:30:00 EEST 2012
E.quake # 37.0			Anomaly at index: 3848		Value: 5.037			Time: Sat Oct 27 05:37:59 EEST 2012

Anomaly # 56.0			Anomaly at index: 25306		Value: 101.376		Time: Sat Oct 27 05:40:00 EEST 2012
Anomaly # 57.0			Anomaly at index: 25307		Value: 108.544		Time: Sat Oct 27 05:50:00 EEST 2012
Anomaly # 58.0			Anomaly at index: 25308		Value: 106.496		Time: Sat Oct 27 06:00:00 EEST 2012
Anomaly # 59.0			Anomaly at index: 25309		Value: 103.424		Time: Sat Oct 27 06:10:00 EEST 2012
Anomaly # 60.0			Anomaly at index: 25310		Value: 105.984		Time: Sat Oct 27 06:20:00 EEST 2012
Anomaly # 61.0			Anomaly at index: 25311		Value: 100.352		Time: Sat Oct 27 06:30:00 EEST 2012
Anomaly # 62.0			Anomaly at index: 25312		Value: 109.056		Time: Sat Oct 27 06:40:00 EEST 2012
Anomaly # 63.0			Anomaly at index: 25313		Value: 101.376		Time: Sat Oct 27 06:50:00 EEST 2012
Anomaly # 64.0			Anomaly at index: 25314		Value: 102.912		Time: Sat Oct 27 07:00:00 EEST 2012
Anomaly # 65.0			Anomaly at index: 25315		Value: 100.864		Time: Sat Oct 27 07:10:00 EEST 2012
Anomaly # 66.0			Anomaly at index: 25346		Value: 98.304		Time: Sat Oct 27 12:20:00 EEST 2012
E.quake # 38.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 67.0			Anomaly at index: 25348		Value: 102.912		Time: Sat Oct 27 12:40:00 EEST 2012
E.quake # 39.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 68.0			Anomaly at index: 25350		Value: 99.84		Time: Sat Oct 27 13:00:00 EEST 2012
E.quake # 40.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 69.0			Anomaly at index: 25351		Value: 107.008		Time: Sat Oct 27 13:10:00 EEST 2012
E.quake # 41.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 70.0			Anomaly at index: 25352		Value: 101.888		Time: Sat Oct 27 13:20:00 EEST 2012
E.quake # 42.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 71.0			Anomaly at index: 25353		Value: 103.424		Time: Sat Oct 27 13:30:00 EEST 2012
E.quake # 43.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 72.0			Anomaly at index: 25354		Value: 103.424		Time: Sat Oct 27 13:40:00 EEST 2012
E.quake # 44.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 73.0			Anomaly at index: 25356		Value: 111.104		Time: Sat Oct 27 14:00:00 EEST 2012
E.quake # 45.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 74.0			Anomaly at index: 25357		Value: 104.96		Time: Sat Oct 27 14:10:00 EEST 2012
